title,status,description,milestones,labels
Upload Games,Open,As an Admin I want to upload games (make them downloadable),Games (Selling),Games (Selling)
Set Game Price,Closed,As an Admin I want to set the price on each games available for download,,Admin Games
Set Games to Standby,Closed,As an Admin I want to put some uploaded games on standby (meaning before it even gets to be downloadable),Games (Admin),Admin Games
Set Games to Available,Closed,As an Admin I want to make some uploaded games available to download,Games (Admin),Admin Games
Get Number of Downloads,Open,As an Admin I want to see how many people downloaded each games,Games (Selling),Games (Selling)
CRUD Game,Closed,As an Admin I can create / edit / delete a game card,Games (Admin),Admin Games
Add Game Thumbnail,Closed,As an Admin I want to add a thumbnail to a game card,Games (Admin),Admin Games
Change Game Thumbnail,Closed,As an Admin I want to change the thumbnail to an uploaded game card,Games (Admin),Admin Games
Change Game Thumbnail Size,Open,As an Admin I want to change the size of the thumbnail of a game card,,Design-dependent
Modify Game Card Display - Position,Open,As an Admin I want to change the position and display of the uploaded game cards,,Design-dependent
Edit Game Card Description,Closed,As an Admin I want to modify the description next to an uploaded game card,Games (Admin),Admin Games
Download Games,Open,As an Admin I want to download uploaded games,Games (Selling),Games (Selling)
Update Uploaded Games,Open,As an Admin I want to update uploaded games,Games (Selling),Games (Selling)
Delete Uploaded Games,Open,As an Admin I want to delete uploaded games,Games (Selling),Games (Selling)
Create Blog Posts,Open,As an Admin I want to create blog posts,,Admin Forum/posts
Create Forum Posts,Open,As an Admin I want to create forum posts,,Admin Forum/posts
Create Forum Topics,Open,As an Admin I want to create forum topics,,Admin Forum/posts
Access To All Sections,Open,As an Admin I want to have access to all sections,,Admin Maintenance
See Member List,Open,As an Admin I want to see the list of members,,Admin Maintenance
See Member's Status,Open,As an Admin I want to see how long members have been subscribed for and their membership status,,Admin Maintenance
Give Free Membership,Open,As an Admin I want to give free/promo membership to specific people,,Admin Maintenance
Give Free Games,Open,As an Admin I want to give free/promo games to specific people,,Admin Maintenance
Post new Forum Post,Open,As an Admin I want to post News post,Forums / Posts (Admin),Admin Forum/posts
Post Priority Post,Open,As an Admin I want to post priority posts,,Admin Forum/posts
Comment forum post,Open,As an Admin I want to comment on forum posts,,Admin Forum/posts
Turn Blog Post into Forum,Open,As an Admin I want to comment on blog posts,,Admin Forum/posts
Upload media to blog post,Open,As an Admin I want to upload photos ,,Admin Forum/posts
Like a blog post,Open,As an Admin I want to like a blog post,,Admin Forum/posts
Like a forum Post,Open,As an Admin I want to like a forum post,,Admin Forum/posts
