Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
1,https://gitlab.com/stephlaf/gueshly/-/issues/1,Upload Games,Open,As an Admin I want to upload games (make them downloadable),Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-18 18:46:10,,Games (Selling),,Games (Selling),0,0
2,https://gitlab.com/stephlaf/gueshly/-/issues/2,Set Game Price,Closed,"As an Admin I want to set the price on each games available for download
This should be done at the moment of uploading, and should be editable",Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-02 18:06:02,2020-02-28 20:36:01,Games (Admin),,Admin Games,0,0
3,https://gitlab.com/stephlaf/gueshly/-/issues/3,Set Games to Standby,Closed,As an Admin I want to put some uploaded games on standby (meaning before it even gets to be downloadable),Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-02 19:22:42,2020-03-02 19:22:42,Games (Admin),,Admin Games,0,0
4,https://gitlab.com/stephlaf/gueshly/-/issues/4,Set Games to Available,Closed,As an Admin I want to make some uploaded games available to download,Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-02 19:22:38,2020-03-02 19:22:38,Games (Admin),,Admin Games,0,0
5,https://gitlab.com/stephlaf/gueshly/-/issues/5,Get Number of Downloads,Open,As an Admin I want to see how many people downloaded each games,Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-18 18:47:16,,Games (Selling),,Games (Selling),0,0
6,https://gitlab.com/stephlaf/gueshly/-/issues/6,CRUD Game,Closed,As an Admin I can create / edit / delete a game card,Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-02 17:59:14,2020-02-28 20:36:09,Games (Admin),,Admin Games,0,0
7,https://gitlab.com/stephlaf/gueshly/-/issues/7,Add Game Thumbnail,Closed,As an Admin I want to add a thumbnail to a game card,Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-02 18:05:27,2020-02-28 20:36:03,Games (Admin),,Admin Games,0,0
8,https://gitlab.com/stephlaf/gueshly/-/issues/8,Change Game Thumbnail,Closed,As an Admin I want to change the thumbnail to an uploaded game card,Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:10,2020-03-02 18:05:38,2020-02-28 20:36:07,Games (Admin),,Admin Games,0,0
9,https://gitlab.com/stephlaf/gueshly/-/issues/9,Change Game Thumbnail Size,Open,As an Admin I want to change the size of the thumbnail of a game card,Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:11,2020-03-18 18:37:51,,,,Design-dependent,0,0
10,https://gitlab.com/stephlaf/gueshly/-/issues/10,Modify Game Card Display - Position,Open,As an Admin I want to change the position and display of the uploaded game cards,Stephane Lafontaine,stephlaf,Stephane Lafontaine,stephlaf,No,No,,2020-01-06 18:03:11,2020-03-18 18:39:11,,,,Design-dependent,0,0
